lad19cd,n
E07000165,160831.0
E07000166,53730.0
E07000167,55380.0
E07000168,108757.0
E07000169,90620.0
E07000170,127918.0
E07000171,117459.0
E07000172,114033.0
E07000173,117896.0
E07000174,109313.0
E07000175,122421.0
E07000176,119184.0
E07000177,150503.0
E07000178,152457.0
E07000179,142057.0
E07000180,136007.0
E07000181,110643.0
E07000187,115587.0
E07000188,123178.0
E07000189,168345.0
E07000192,100762.0
E07000193,119754.0
E07000194,104756.0
E07000195,129441.0
E07000196,112436.0
E07000197,137280.0
E07000198,98435.0
E07000199,76696.0
E07000200,92036.0
E07000202,136913.0
E07000203,103895.0
E07000207,136795.0
E07000208,80627.0
E07000209,148998.0
E07000210,87245.0
E07000211,148748.0
E07000212,89424.0
E07000213,99844.0
E07000214,89305.0
E07000215,88129.0
E07000216,126328.0
E07000217,100793.0
E07000218,65264.0
E07000219,129883.0
E07000220,108935.0
E07000221,130098.0
E07000222,143753.0
E07000223,64301.0
E07000224,160758.0
E07000225,121129.0
E07000226,112409.0
E07000227,143791.0
E07000228,151022.0
E07000229,110570.0
E07000234,99881.0
E07000235,78698.0
E07000236,85261.0
E07000237,101222.0
E07000238,129433.0
E07000239,101291.0
E07000240,148452.0
E07000241,123043.0
E07000242,149748.0
E07000243,87845.0
E07000244,249461.0
E07000245,179045.0
E07000246,155115.0
E08000001,287550.0
E08000002,190990.0
E08000003,552858.0
E08000004,237110.0
E08000005,222412.0
E08000006,258834.0
E08000007,293423.0
E08000008,226493.0
E08000009,237354.0
E08000010,328662.0
E08000011,150862.0
E08000012,498042.0
E08000013,180585.0
E08000014,276410.0
E08000015,324011.0
E08000016,246866.0
E08000017,311890.0
E08000018,265411.0
E08000019,584853.0
E08000021,302820.0
E08000022,207913.0
E08000023,150976.0
E08000024,277705.0
E08000025,1141816.0
E08000026,371521.0
E08000027,321596.0
E08000028,328450.0
E08000029,216374.0
E08000030,285478.0
E08000031,263357.0
E08000032,539776.0
E08000033,211455.0
E08000034,439787.0
E08000035,793139.0
E08000036,348312.0
E08000037,202055.0
"E09000001,E09000033",271038.0
E09000002,212906.0
E09000003,395869.0
E09000004,248287.0
E09000005,329771.0
E09000006,332336.0
E09000007,270029.0
E09000008,386710.0
E09000009,341806.0
E09000010,333794.0
E09000011,287942.0
E09000012,281120.0
E09000013,185143.0
E09000014,268647.0
E09000015,251160.0
E09000016,259552.0
E09000017,306870.0
E09000018,271523.0
E09000019,242467.0
E09000020,156129.0
E09000021,177507.0
E09000022,326034.0
E09000023,305842.0
E09000024,206548.0
E09000025,353134.0
E09000026,305222.0
E09000027,198019.0
E09000028,318830.0
E09000029,206349.0
E09000030,324745.0
E09000031,276983.0
E09000032,329677.0
